iter	Passed	Remaining
0	129	129550
1	130	65293
2	132	44146
3	134	33461
4	135	26968
5	136	22669
6	137	19556
7	138	17220
8	139	15411
9	141	13963
10	142	12795
11	143	11799
12	144	11008
13	146	10303
14	148	9719
15	149	9176
16	150	8682
17	151	8247
18	152	7860
19	153	7508
20	154	7194
21	155	6905
22	156	6639
23	157	6392
24	158	6165
25	159	5964
26	160	5777
27	162	5627
28	163	5464
29	164	5311
30	165	5167
31	166	5033
32	167	4905
33	168	4785
34	169	4676
35	170	4565
36	171	4460
37	172	4361
38	173	4269
39	174	4182
40	175	4108
41	177	4050
42	178	3977
43	179	3905
44	180	3835
45	181	3766
46	182	3702
47	183	3642
48	184	3581
49	185	3527
50	186	3472
51	187	3421
52	188	3373
53	190	3337
54	192	3299
55	193	3256
56	194	3214
57	195	3171
58	196	3128
59	197	3091
60	198	3055
61	199	3016
62	200	2979
63	201	2942
64	202	2912
65	203	2883
66	205	2865
67	207	2838
68	208	2810
69	209	2781
70	210	2751
71	211	2723
72	212	2696
73	213	2672
74	214	2645
75	215	2619
76	216	2593
77	217	2573
78	219	2556
79	220	2536
80	221	2515
81	222	2494
82	223	2467
83	224	2446
84	225	2425
85	226	2406
86	227	2386
87	228	2365
88	229	2346
89	230	2327
90	231	2315
91	233	2300
92	234	2290
93	236	2275
94	237	2258
95	238	2241
96	239	2225
97	240	2209
98	241	2194
99	243	2188
100	244	2178
101	246	2174
102	248	2164
103	250	2154
104	251	2144
105	255	2151
106	257	2146
107	258	2138
108	260	2133
109	263	2128
110	264	2120
111	266	2110
112	267	2101
113	269	2091
114	270	2083
115	272	2074
116	273	2062
117	275	2056
118	276	2050
119	278	2044
120	280	2038
121	281	2028
122	283	2020
123	284	2011
124	286	2003
125	287	1992
126	288	1983
127	289	1974
128	290	1964
129	292	1955
130	293	1948
131	295	1940
132	296	1931
133	297	1925
134	299	1918
135	301	1918
136	303	1914
137	305	1908
138	306	1899
139	307	1891
140	309	1884
141	310	1874
142	311	1867
143	313	1862
144	314	1855
145	315	1848
146	317	1840
147	318	1831
148	319	1824
149	320	1817
150	322	1811
151	323	1804
152	324	1797
153	325	1790
154	327	1783
155	328	1775
156	329	1767
157	330	1760
158	331	1753
159	332	1747
160	333	1738
161	334	1732
162	337	1730
163	338	1724
164	339	1718
165	340	1712
166	342	1706
167	343	1699
168	344	1692
169	345	1686
170	346	1681
171	348	1677
172	349	1672
173	351	1669
174	353	1664
175	354	1658
176	355	1652
177	356	1646
178	357	1640
179	358	1633
180	359	1627
181	360	1621
182	361	1615
183	363	1610
184	364	1604
185	365	1598
186	366	1592
187	367	1587
188	368	1582
189	369	1576
190	371	1571
191	372	1567
192	373	1563
193	375	1559
194	376	1554
195	377	1550
196	379	1545
197	380	1542
198	382	1537
199	383	1532
200	384	1528
201	386	1524
202	387	1521
203	388	1517
204	390	1512
205	391	1507
206	392	1504
207	394	1500
208	395	1497
209	397	1494
210	398	1489
211	399	1485
212	401	1481
213	402	1477
214	403	1473
215	404	1468
216	406	1466
217	407	1463
218	410	1465
219	412	1462
220	413	1458
221	414	1453
222	416	1449
223	417	1445
224	418	1441
225	419	1437
226	422	1437
227	424	1436
228	425	1434
229	427	1431
230	428	1427
231	430	1423
232	431	1420
233	432	1416
234	433	1412
235	435	1409
236	436	1405
237	437	1401
238	438	1397
239	439	1393
240	441	1389
241	443	1390
242	446	1390
243	448	1389
244	449	1386
245	451	1384
246	453	1382
247	455	1380
248	456	1376
249	457	1373
250	459	1369
251	460	1366
252	461	1362
253	462	1358
254	464	1355
255	465	1353
256	467	1351
257	468	1348
258	470	1344
259	471	1341
260	472	1338
261	473	1334
262	475	1331
263	476	1328
264	478	1326
265	479	1324
266	482	1323
267	483	1321
268	485	1319
269	486	1316
270	488	1313
271	489	1310
272	490	1307
273	492	1305
274	494	1303
275	496	1301
276	498	1301
277	500	1298
278	501	1295
279	502	1292
280	504	1290
281	505	1287
282	506	1284
283	508	1281
284	509	1278
285	511	1277
286	513	1275
287	514	1272
288	516	1270
289	517	1267
290	518	1263
291	520	1262
292	522	1260
293	524	1258
294	525	1256
295	526	1253
296	528	1250
297	529	1248
298	531	1245
299	533	1243
300	534	1240
301	535	1237
302	536	1234
303	538	1232
304	540	1232
305	542	1229
306	543	1227
307	545	1224
308	546	1221
309	548	1219
310	549	1217
311	551	1215
312	552	1212
313	553	1210
314	556	1209
315	558	1208
316	559	1205
317	561	1203
318	562	1201
319	564	1198
320	565	1196
321	567	1194
322	568	1192
323	570	1190
324	571	1187
325	573	1184
326	574	1182
327	575	1179
328	577	1177
329	578	1174
330	579	1171
331	581	1169
332	582	1167
333	583	1164
334	585	1161
335	586	1159
336	587	1156
337	589	1153
338	590	1151
339	591	1148
340	592	1145
341	594	1143
342	596	1141
343	597	1140
344	599	1137
345	600	1135
346	601	1132
347	603	1130
348	604	1127
349	605	1124
350	607	1122
351	608	1120
352	609	1117
353	611	1115
354	613	1115
355	615	1113
356	617	1111
357	618	1109
358	619	1106
359	621	1104
360	622	1101
361	623	1098
362	624	1096
363	626	1094
364	628	1093
365	630	1091
366	632	1090
367	633	1088
368	635	1086
369	636	1084
370	638	1082
371	639	1080
372	641	1078
373	643	1077
374	644	1074
375	646	1072
376	647	1069
377	648	1067
378	650	1065
379	651	1063
380	653	1061
381	654	1059
382	656	1057
383	658	1055
384	659	1053
385	661	1051
386	662	1049
387	664	1047
388	665	1045
389	666	1043
390	668	1040
391	669	1038
392	671	1036
393	673	1035
394	674	1033
395	676	1031
396	677	1029
397	679	1027
398	680	1025
399	681	1022
400	683	1021
401	685	1019
402	687	1018
403	689	1017
404	691	1015
405	692	1012
406	693	1010
407	694	1008
408	696	1006
409	697	1004
410	699	1002
411	702	1002
412	703	1000
413	705	997
414	706	995
415	707	993
416	709	991
417	710	989
418	712	987
419	713	985
420	715	984
421	717	983
422	719	981
423	721	979
424	722	977
425	724	975
426	725	973
427	730	976
428	733	975
429	734	974
430	736	972
431	737	970
432	739	967
433	740	965
434	742	963
435	743	962
436	745	960
437	747	958
438	748	956
439	750	954
440	751	952
441	752	950
442	754	948
443	755	946
444	757	944
445	760	944
446	762	942
447	763	940
448	764	938
449	766	936
450	767	934
451	769	932
452	770	930
453	772	929
454	775	928
455	776	926
456	778	924
457	779	922
458	781	920
459	782	918
460	783	916
461	785	914
462	786	912
463	788	911
464	790	909
465	792	907
466	793	906
467	795	903
468	796	901
469	798	899
470	799	897
471	800	895
472	802	894
473	803	892
474	805	890
475	807	888
476	809	887
477	810	885
478	812	883
479	813	881
480	815	880
481	818	879
482	820	878
483	822	876
484	824	875
485	825	873
486	827	871
487	828	869
488	829	867
489	831	865
490	832	863
491	834	861
492	836	860
493	838	858
494	839	856
495	840	854
496	842	852
497	843	850
498	845	848
499	846	846
500	848	845
501	850	843
502	851	841
503	852	839
504	854	837
505	855	835
506	857	833
507	859	831
508	860	830
509	862	828
510	864	826
511	865	825
512	867	823
513	868	821
514	870	819
515	871	817
516	873	815
517	874	813
518	875	811
519	877	810
520	879	808
521	880	806
522	882	804
523	883	802
524	885	800
525	886	798
526	887	796
527	889	794
528	890	793
529	892	791
530	894	789
531	895	787
532	897	785
533	898	783
534	900	783
535	902	781
536	904	779
537	905	777
538	907	776
539	909	774
540	910	772
541	912	770
542	913	768
543	915	767
544	916	765
545	917	763
546	919	761
547	922	760
548	923	759
549	925	757
550	926	755
551	928	753
552	929	751
553	931	749
554	932	747
555	933	745
556	935	744
557	937	742
558	939	740
559	940	738
560	941	736
561	943	735
562	944	733
563	946	731
564	948	729
565	949	728
566	951	726
567	952	724
568	954	722
569	955	720
570	957	719
571	958	717
572	960	715
573	962	714
574	965	713
575	968	712
576	969	711
577	971	709
578	972	707
579	974	705
580	975	703
581	977	702
582	979	700
583	981	699
584	983	697
585	985	695
586	986	694
587	988	692
588	989	690
589	991	688
590	993	687
591	995	685
592	996	684
593	998	682
594	999	680
595	1001	678
596	1002	676
597	1004	675
598	1005	673
599	1007	671
600	1009	669
601	1010	668
602	1011	666
603	1013	664
604	1014	662
605	1016	660
606	1017	658
607	1020	657
608	1021	655
609	1023	654
610	1024	652
611	1026	650
612	1027	648
613	1029	647
614	1030	645
615	1032	643
616	1033	641
617	1034	639
618	1035	637
619	1037	635
620	1039	634
621	1040	632
622	1041	630
623	1043	628
624	1044	626
625	1046	625
626	1047	623
627	1048	621
628	1050	619
629	1052	618
630	1054	616
631	1056	615
632	1057	613
633	1059	611
634	1060	609
635	1061	607
636	1063	606
637	1065	604
638	1066	602
639	1068	601
640	1070	599
641	1071	597
642	1073	595
643	1074	594
644	1076	592
645	1077	590
646	1079	588
647	1081	587
648	1084	586
649	1085	584
650	1087	582
651	1088	580
652	1090	579
653	1091	577
654	1092	575
655	1093	573
656	1095	572
657	1097	570
658	1099	568
659	1100	566
660	1101	565
661	1103	563
